mission,launch_date,operator,carrier_rocket,spacecraft,mission_type,outcome,country
Chang'e 2,1-Oct-10,CNSA,Long March 3C,Chang'e 2,Orbiter,Success,China
GRAIL,10-Sep-11,NASA,Delta II 7920H,Ebb(GRAIL-A),Orbiter,Success,United States
LADEE,7-Sep-13,NASA,Minotaur V,LADEE,Orbiter,Success,United States
Chang'e 3,1-Dec-13,CNSA,Long March 3B,Chang'e 3,Lander,Operational,China
Chang'e 5-T1,23-Oct-14,CNSA,Long March 3C,Chang'e 5-T1,Orbiter,Operational,China
Chang'e 5-T1,23-Oct-14,LuxSpace,Long March 3C,Chang'e 5-T1,Flyby,Success,Luxembourg
TESS,18-Apr-18,NASA,Falcon 9 Full Thrust,TESS,Flyby,Success,United States
Queqiao,21-May-18,CNSA,Long March 4C,Queqiao relay satellite,Relay Satellite,Operational,China
Chang'e 4,7-Dec-18,CNSA,Long March 3B,Chang'e 4,Lander,Operational,China
Beresheet,22-Feb-19,SpaceIL,Falcon 9,Beresheet,Lander,Spacecraft failure,Israel
Chandrayaan-2,22-Jul-19,ISRO,LVM3,Chandrayaan-2 Orbiter,Orbiter,Operational,India
Chang'e 5,23-Nov-20,CNSA,Long March 5,Chang'e 5Orbiter,Orbiter,Operational,China
CAPSTONE,28-Jun-22,NASA,Electron,âš€CAPSTONE,Orbiter,Operational,United States
Danuri,4-Aug-22,KARI,Falcon 9,Danuri,Orbiter,Operational,South Korea
Artemis I,16-Nov-22,NASA,SLSBlock 1,Artemis IOrion MPCVCM-002,Orbiter,Success,United States
Jupiter Icy Moons Explorer,14-Apr-23,ESA,Ariane 5ECA,Jupiter Icy Moons Explorer,Flyby,Success,EU
Chandrayaan-3,14-Jul-23,ISRO,LVM3,Chandrayaan-3,Success,Success,India
Luna 25,10-Aug-23,Roscosmos,Soyuz-2.1b/Fregat,Luna 25,Lander,Spacecraft failure,Russia
SLIM,6-Sep-23,JAXA,H-IIA,SLIM,Lander,Success,Japan
Peregrine Mission One,8-Jan-24,Astrobotic Technology,Vulcan Centaur VC2,Peregrine,Lander,Spacecraft failure,United States
IM-1,14-Feb-24,Intuitive Machines,Falcon 9 B5,Nova-COdysseus,Lander,Success,United States
DRO A/B,13-Mar-24,CAS,Long March 2C,DRO-A,Relay Satellite,Operational,China
Queqiao-2,20-Mar-24,CNSA,Long March 8,Queqiao-2,Relay Satellite,Operational,China
Chang'e 6,3-May-24,CNSA,Long March 5,Chang'e 6Orbiter,Orbiter,Success,China
Blue Ghost M1,15-Jan-25,Firefly Aerospace,Falcon 9 B5,Blue Ghost Lander,Lander,Success,United States
Hakuto-R Mission 2,15-Jan-25,ispace,Falcon 9 B5,Hakuto-R,Lander,Spacecraft failure,Japan
Lunar Trailblazer,27-Feb-25,NASA,Falcon 9 B5,Lunar Trailblazer,Orbiter,Spacecraft failure,United States
Brokkr-2,27-Feb-25,AstroForge,Falcon 9 B5,Brokkr-2,Flyby,Spacecraft failure,United States
Chimera-1,27-Feb-25,Epic Aerospace,Falcon 9 B5,Chimera-1,Flyby,Success,United States
IM-2,27-Feb-25,Intuitive Machines,Falcon 9 B5,Nova-C,Lander,Partial failure,United States
