laua,laua_name,All Premises,All Matched Premises,SFBB availability (% premises),UFBB (100Mbit/s) availability (% premises),UFBB availability (% premises),Full Fibre availability (% premises),Gigabit availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,% of premises below the USO,% of premises with NGA,% of premises able to receive decent broadband from FWA,Number of premises with SFBB availability,Number of premises with UFBB (100Mbit/s) availability,Number of premises with UFBB availability,Number of premises with Full Fibre availability,Number of premises with Gigabit availability,Number of premises unable to receive 2Mbit/s,Number of premises unable to receive 5Mbit/s,Number of premises unable to receive 10Mbit/s,Number of premises unable to receive 30Mbit/s,Number of premises below the USO,Number of premises with NGA,Number of premises able to receive decent broadband from FWA,Number of premises with 30<300Mbit/s download speed,Number of premises with >=300Mbit/s download speed,Number of premises with 0<2Mbit/s download speed,Number of premises with 2<5Mbit/s download speed,Number of premises with 5<10Mbit/s download speed,Number of premises with 10<30Mbit/s download speed,% of premises with 30<300Mbit/s download speed,% of premises with >=300Mbit/s download speed,% of premises with 0<2Mbit/s download speed,% of premises with 2<5Mbit/s download speed,% of premises with 5<10Mbit/s download speed,% of premises with 10<30Mbit/s download speed
E07000224,ARUN,81185,81142,97.4,40.9,37.8,35.7,35.8,0,0.1,0.2,2.5,0.1,99.9,0,79088,33244,30684,29009,29056,36,71,148,2054,62,81099,0,48404,30684,36,35,77,1906,59.6,37.8,0,0,0.1,2.3
E07000170,ASHFIELD,60181,60151,98.5,90.7,90.6,40,89.4,0,0.3,0.4,1.5,0,99.2,0,59262,54563,54507,24064,53820,16,204,263,889,10,59696,1,4755,54507,16,188,59,626,7.9,90.6,0,0.3,0.1,1
E07000105,ASHFORD,61130,61079,93.3,69.7,68.4,56.2,67.6,0.2,1,2.2,6.6,0.4,98.8,35.1,57045,42634,41835,34349,41328,144,634,1322,4034,216,60402,21473,15210,41835,144,490,688,2712,24.9,68.4,0.2,0.8,1.1,4.4
E07000200,BABERGH,45310,45250,96.5,45.1,44.9,44.8,44.9,0.2,0.5,0.7,3.3,0.2,99.4,4.3,43741,20420,20365,20313,20349,103,217,329,1509,88,45047,1931,23376,20365,103,114,112,1180,51.6,44.9,0.2,0.3,0.2,2.6
E09000002,BARKING AND DAGENHAM,82245,82094,98.7,92.5,92.5,81.3,92.5,0,0.4,0.6,1.1,0,98.7,0,81167,76052,76049,66830,76040,24,357,526,927,16,81181,0,5118,76049,24,333,169,401,6.2,92.5,0,0.4,0.2,0.5
E09000003,BARNET,164319,164254,98.1,71.6,69.5,40.7,67.6,0,0,0.1,1.8,0,98.8,0,161215,117606,114165,66912,111095,1,7,238,3039,7,162396,0,47050,114165,1,6,231,2801,28.6,69.5,0,0,0.1,1.7
E08000016,BARNSLEY,119669,119601,98.6,71.8,69.1,29.1,67,0.1,0.2,0.3,1.4,0,99.3,26.9,117975,85893,82665,34793,80235,67,265,401,1626,4,118814,32234,35310,82665,67,198,136,1225,29.5,69.1,0.1,0.2,0.1,1
E07000027,BARROW-IN-FURNESS,35961,35920,98.9,63.9,63.9,63.9,63.9,0.1,0.2,0.3,1,0.1,99.9,0.3,35578,22983,22983,22983,22983,53,77,111,342,21,35908,99,12595,22983,53,24,34,231,35,63.9,0.1,0.1,0.1,0.6
E07000066,BASILDON,84616,84508,98.7,87.8,87.3,57.5,86.5,0,0.1,0.4,1.2,0,99.4,0,83526,74309,73901,48689,73195,27,115,305,982,6,84084,0,9625,73901,27,88,190,677,11.4,87.3,0,0.1,0.2,0.8
E07000084,BASINGSTOKE AND DEANE,84021,83978,96.6,68.4,67.3,52.3,66.7,0.2,0.5,0.9,3.4,0.2,98.9,0,81139,57500,56580,43929,56057,138,406,763,2839,182,83099,0,24559,56580,138,268,357,2076,29.2,67.3,0.2,0.3,0.4,2.5
E07000171,BASSETLAW,59808,59651,96.6,57.7,56.1,38.3,54.9,0.4,0.7,1.1,3.2,0.1,99.2,40.9,57763,34489,33538,22921,32842,234,444,646,1888,86,59313,24471,24225,33538,234,210,202,1242,40.5,56.1,0.4,0.4,0.3,2.1
E06000022,BATH AND NORTH EAST SOMERSET,89973,89841,95.7,74.8,70.5,53.7,67,0.1,0.2,0.5,4.2,0.1,97.4,0,86077,67344,63431,48359,60299,71,213,452,3764,92,87621,0,22646,63431,71,142,239,3312,25.2,70.5,0.1,0.2,0.3,3.7
E06000055,BEDFORD,84126,84077,97.6,80.9,79.3,48,77.1,0.1,0.3,0.6,2.3,0.1,99.1,0,82132,68065,66706,40351,64881,118,280,541,1945,49,83403,1,15426,66706,118,162,261,1404,18.3,79.3,0.1,0.2,0.3,1.7
N09000003,BELFAST,173696,172887,98.7,95.6,95.6,90.3,95.6,0,0.1,0.3,0.8,0,98.8,0,171471,166080,166079,156798,166080,40,110,508,1416,76,171590,0,5392,166079,40,70,398,908,3.1,95.6,0,0,0.2,0.5
E09000004,BEXLEY,105139,105096,98.6,90.2,89.9,70.4,89.5,0,0.1,0.5,1.4,0,98.8,0,103647,94790,94519,74007,94134,22,82,514,1449,8,103851,0,9128,94519,22,60,432,935,8.7,89.9,0,0.1,0.4,0.9
E08000025,BIRMINGHAM,480460,478397,96.8,92.7,92.1,51.8,91.5,0,0.3,0.7,2.8,0,96.9,0,465123,445403,442717,248690,439561,83,1424,3305,13274,99,465369,0,22406,442717,83,1341,1881,9969,4.7,92.1,0,0.3,0.4,2.1
E07000129,BLABY,46248,46222,98.5,76.1,74.3,41.2,73.1,0.1,0.2,0.3,1.4,0,99.4,0,45564,35183,34367,19042,33818,33,70,126,658,7,45989,0,11197,34367,33,37,56,532,24.2,74.3,0.1,0.1,0.1,1.2
E06000008,BLACKBURN WITH DARWEN,68904,68816,97.8,74,73.8,34.4,73.6,0,0.2,0.3,2,0,99.2,55.7,67417,50965,50836,23728,50731,28,139,229,1399,32,68356,38361,16581,50836,28,111,90,1170,24.1,73.8,0,0.2,0.1,1.7
E06000009,BLACKPOOL,78293,77910,98.3,73.7,73.6,11.6,73.7,0,0,0,1.2,0,98.4,0,76934,57672,57621,9069,57672,23,33,34,976,3,77032,0,19313,57621,23,10,1,942,24.7,73.6,0,0,0,1.2
W06000019,BLAENAU GWENT,35513,35470,97.2,40,38.5,37.5,37.5,0.1,0.3,0.6,2.7,0.1,99.5,0,34523,14204,13687,13304,13304,38,99,207,947,27,35332,17,20836,13687,38,61,108,740,58.7,38.5,0.1,0.2,0.3,2.1
E07000033,BOLSOVER,40199,40145,97.1,67.4,65.1,43.6,63.7,0,0.1,0.4,2.8,0.1,99.3,0,39029,27088,26169,17515,25596,20,45,178,1116,55,39931,0,12860,26169,20,25,133,938,32,65.1,0,0.1,0.3,2.3
E08000001,BOLTON,135251,134987,98.7,92.3,91.4,55.9,90.5,0,0.1,0.2,1.1,0,99.3,0.8,133465,124813,123555,75636,122451,41,128,282,1522,46,134357,1087,9910,123555,41,87,154,1240,7.3,91.4,0,0.1,0.1,0.9
E07000136,BOSTON,34061,33827,93.7,63.3,63.3,63.3,63.3,0.6,1.3,1.9,5.6,0.5,98.3,12.2,31923,21568,21568,21568,21568,193,434,653,1904,165,33471,4152,10355,21568,193,241,219,1251,30.4,63.3,0.6,0.7,0.6,3.7
E06000058,"BOURNEMOUTH, CHRISTCHURCH AND POOLE",200079,199899,98.7,88.3,87.1,59.1,86.4,0.2,0.2,0.2,1.2,0,99.6,0,197571,176589,174213,118292,172881,338,362,464,2328,28,199216,0,23358,174213,338,24,102,1864,11.7,87.1,0.2,0,0.1,0.9
E06000036,BRACKNELL FOREST,55974,55935,97.8,92.2,91.7,87.3,91,0,0.1,0.3,2.1,0,98.6,0,54763,51608,51331,48857,50940,14,54,152,1172,6,55197,0,3432,51331,14,40,98,1020,6.1,91.7,0,0.1,0.2,1.8
E08000032,BRADFORD,225291,224877,97.7,89.8,88.6,55.9,87.4,0.1,0.2,0.3,2.2,0,98.7,63.5,220009,202265,199695,125939,196915,142,398,735,4868,6,222329,143050,20314,199695,142,256,337,4133,9,88.6,0.1,0.1,0.1,1.8
E07000067,BRAINTREE,73449,73379,97.9,67.1,67.1,67.1,67.1,0.2,0.4,0.7,2,0.1,99.2,12.3,71915,49317,49317,49301,49317,133,287,503,1464,83,72878,9001,22598,49317,133,154,216,961,30.8,67.1,0.2,0.2,0.3,1.3
E07000143,BRECKLAND,68299,68244,93.7,48.7,47.6,46.8,46.8,0.6,1.3,2.1,6.2,1.1,98.8,0.1,63997,33242,32530,31997,31997,442,897,1446,4247,731,67453,37,31467,32530,442,455,549,2801,46.1,47.6,0.6,0.7,0.8,4.1
E09000005,BRENT,143245,142413,97.2,84.2,82.7,63.5,81.5,0,0.1,0.3,2.2,0,97.3,0,139198,120660,118487,91007,116757,2,130,495,3215,22,139312,0,20711,118487,2,128,365,2720,14.5,82.7,0,0.1,0.3,1.9
E07000068,BRENTWOOD,36628,36565,96.2,64.1,64.1,64.1,64.1,0.1,0.4,0.5,3.7,0.1,98.1,0.3,35218,23482,23482,23475,23482,26,142,172,1347,33,35926,98,11736,23482,26,116,30,1175,32,64.1,0.1,0.3,0.1,3.2
W06000013,BRIDGEND,68373,68334,97.8,70.8,67.8,65.2,65.3,0.1,0.2,0.5,2.1,0,99.4,35.9,66874,48414,46340,44591,44649,35,111,332,1460,10,67989,24540,20534,46340,35,76,221,1128,30,67.8,0.1,0.1,0.3,1.6
E06000043,BRIGHTON AND HOVE,143991,142818,97.2,86.7,84,39.2,80,0,0.2,0.8,2,0,97.4,0,139967,124817,121002,56429,115153,21,345,1214,2851,10,140287,0,18965,121002,21,324,869,1637,13.2,84,0,0.2,0.6,1.1
E06000023,"BRISTOL, CITY OF",215470,215124,96.8,92.7,92.7,67.4,92.6,0,0.1,0.5,3,0,96.9,0,208576,199802,199685,145277,199568,16,188,1013,6548,50,208789,0,8891,199685,16,172,825,5535,4.1,92.7,0,0.1,0.4,2.6
E07000144,BROADLAND,63560,63448,96,57.1,56.2,42.5,55.8,0.2,0.4,1,3.8,0.7,99.2,0.1,61042,36275,35749,26997,35482,113,247,664,2406,432,63037,35,25293,35749,113,134,417,1742,39.8,56.2,0.2,0.2,0.7,2.7
E09000006,BROMLEY,147697,147669,98.6,91.6,91.3,44,90.5,0,0.1,0.2,1.4,0,99.1,0,145647,135225,134838,64989,133616,26,118,302,2022,20,146325,0,10809,134838,26,92,184,1720,7.3,91.3,0,0.1,0.1,1.2
E07000234,BROMSGROVE,45559,45344,97.7,79.5,79.5,59.7,79.5,0,0.2,0.3,1.9,0.1,99.2,0.1,44500,36201,36201,27201,36201,20,84,152,844,41,45198,41,8299,36201,20,64,68,692,18.2,79.5,0,0.1,0.1,1.5
E07000095,BROXBOURNE,43641,43611,98.9,89.9,87.4,18.8,84.8,0.1,0.1,0.2,1,0,99.6,0,43170,39212,38131,8191,37010,27,38,86,441,6,43475,0,5039,38131,27,11,48,355,11.5,87.4,0.1,0,0.1,0.8
E07000172,BROXTOWE,52990,52961,99.4,95.6,95.2,75.8,94.8,0,0.1,0.1,0.5,0,99.8,0,52694,50648,50441,40166,50221,8,33,65,267,7,52872,0,2253,50441,8,25,32,202,4.3,95.2,0,0,0.1,0.4
E06000060,BUCKINGHAMSHIRE,246431,246174,96.8,77.9,75.6,60.5,73.6,0.1,0.5,0.9,3.1,0.2,98.9,0.1,238533,191956,186186,149059,181252,300,1110,2226,7641,373,243618,295,52347,186186,300,810,1116,5415,21.2,75.6,0.1,0.3,0.5,2.2
E07000117,BURNLEY,46183,46148,98.4,87.7,87.7,66.3,87.7,0.1,0.1,0.2,1.5,0,99.6,38.5,45441,40503,40498,30627,40503,31,46,83,707,20,45987,17786,4943,40498,31,15,37,624,10.7,87.7,0.1,0,0.1,1.4
E08000002,BURY,90422,90322,98.9,87.4,85,78.5,82.7,0,0.1,0.1,1,0,99.8,0,89453,79002,76861,70949,74777,11,80,131,869,8,90248,0,12592,76861,11,69,51,738,13.9,85,0,0.1,0.1,0.8
W06000018,CAERPHILLY,84100,83985,98.9,64.9,64,63.3,63.3,0,0.1,0.2,1,0,99.8,46.4,83176,54604,53807,53215,53240,20,70,129,809,20,83907,39017,29369,53807,20,50,59,680,34.9,64,0,0.1,0.1,0.8
E08000033,CALDERDALE,104131,104077,95.4,55.7,55.6,21.9,55.5,0.1,0.3,0.6,4.5,0,98.7,61,99369,57990,57898,22768,57832,127,363,634,4708,45,102750,63480,41471,57898,127,236,271,4074,39.8,55.6,0.1,0.2,0.3,3.9
E07000008,CAMBRIDGE,61525,61484,98.9,94.4,93.6,78.9,92.8,0,0,0.1,1,0,99,0,60876,58098,57592,48529,57067,2,12,53,608,2,60918,0,3284,57592,2,10,41,555,5.3,93.6,0,0,0.1,0.9
E09000007,CAMDEN,123541,123267,97.8,93.8,93.8,75.2,93.8,0,0,0,2,0,97.8,0,120780,115943,115879,92943,115913,0,0,21,2487,4,120872,3,4901,115879,0,0,21,2466,4,93.8,0,0,0,2
E07000192,CANNOCK CHASE,48893,48863,99.2,91.3,91.2,71,89.7,0,0.1,0.1,0.7,0,99.7,0,48516,44619,44600,34706,43857,19,40,52,347,24,48766,0,3916,44600,19,21,12,295,8,91.2,0,0,0,0.6
E07000106,CANTERBURY,75176,73115,93.1,52.7,52.7,52.7,52.7,0.2,0.5,0.9,4.2,0.2,96.9,14.8,69978,39615,39614,39615,39615,137,354,681,3137,113,72882,11124,30364,39614,137,217,327,2456,40.4,52.7,0.2,0.3,0.4,3.3
W06000015,CARDIFF,169792,169641,98.4,90.6,89.4,67.8,88.2,0,0.2,0.5,1.5,0,98.8,60.7,167018,153782,151863,115182,149758,50,421,769,2623,30,167733,103012,15155,151863,50,371,348,1854,8.9,89.4,0,0.2,0.2,1.1
E07000028,CARLISLE,58711,58612,94.7,60.5,55.1,27.2,51.8,0.7,1.5,2.4,5.1,0.8,98.2,1.5,55621,35518,32379,15990,30412,392,880,1421,2991,462,57681,901,23242,32379,392,488,541,1570,39.6,55.1,0.7,0.8,0.9,2.7
W06000010,CARMARTHENSHIRE,94554,94046,90.6,52.7,52.7,52.7,52.7,1.3,2.8,4.4,8.9,1.3,95.3,1.7,85666,49843,49843,49841,49843,1182,2620,4188,8380,1213,90156,1585,35823,49843,1182,1438,1568,4192,37.9,52.7,1.3,1.5,1.7,4.4
E07000069,CASTLE POINT,41709,41538,98.6,55.1,55.1,18.1,55.1,0,0.1,0.2,0.9,0,99.3,0,41145,23002,23002,7555,23002,6,54,67,393,13,41408,0,18143,23002,6,48,13,326,43.5,55.1,0,0.1,0,0.8
N09000004,CAUSEWAY COAST AND GLENS,71060,70433,94.7,86.6,86.6,86.6,86.6,0.9,1.5,2,4.4,0.7,98.8,0,67281,61513,61513,61512,61513,649,1070,1456,3152,489,70190,0,5768,61513,649,421,386,1696,8.1,86.6,0.9,0.6,0.5,2.4
E06000056,CENTRAL BEDFORDSHIRE,138166,137594,97.1,80.2,78.8,45.2,77.6,0.1,0.3,0.7,2.5,0.2,98.9,0.1,134133,110816,108855,62457,107223,155,471,929,3461,227,136672,116,25278,108855,155,316,458,2532,18.3,78.8,0.1,0.2,0.3,1.8
W06000008,CEREDIGION,39211,38081,85.6,37.4,37.4,37.4,37.4,1.7,4,6.3,11.6,2,91.5,6.2,33547,14664,14664,14664,14664,659,1572,2457,4534,798,35892,2432,18883,14664,659,913,885,2077,48.2,37.4,1.7,2.3,2.3,5.3
E07000130,CHARNWOOD,81061,81013,98.7,78.8,75.9,28.5,73.7,0.1,0.2,0.4,1.2,0,99.7,0,80038,63872,61505,23130,59744,93,194,291,975,34,80803,0,18533,61505,93,101,97,684,22.9,75.9,0.1,0.1,0.1,0.8
E07000070,CHELMSFORD,84339,84181,96.7,72.4,70.3,55.7,68.2,0,0.2,0.6,3.1,0.1,98.7,1,81591,61033,59301,47000,57548,30,139,516,2590,96,83210,849,22290,59301,30,109,377,2074,26.4,70.3,0,0.1,0.4,2.5
E07000078,CHELTENHAM,60466,60454,99.4,88,85.1,55.6,82.3,0,0.1,0.2,0.6,0,99.5,0,60087,53215,51453,33647,49740,12,52,96,367,4,60179,0,8634,51453,12,40,44,271,14.3,85.1,0,0.1,0.1,0.4
E07000177,CHERWELL,74393,74285,97.7,81,78.9,64.8,77.5,0.5,0.6,0.9,2.1,0.1,98.9,0.6,72716,60245,58685,48235,57649,368,468,680,1569,68,73549,435,14031,58685,368,100,212,889,18.9,78.9,0.5,0.1,0.3,1.2
E06000049,CHESHIRE EAST,197192,197057,96.4,78.3,76.8,61.1,75.4,0.2,0.5,1,3.6,0.2,99,1.4,189995,154334,151403,120567,148774,333,1064,2030,7062,345,195294,2842,38592,151403,333,731,966,5032,19.6,76.8,0.2,0.4,0.5,2.6
E06000050,CHESHIRE WEST AND CHESTER,173499,173319,96.4,76.8,73.6,68.4,71.5,0.1,0.5,0.9,3.5,0.1,99.1,0.4,167247,133246,127688,118659,123966,237,862,1621,6072,218,171994,764,39559,127688,237,625,759,4451,22.8,73.6,0.1,0.4,0.4,2.6
E07000034,CHESTERFIELD,54348,54280,98.1,71.1,71.1,44.7,71.1,0,0,0.1,1.8,0,99.3,0,53301,38647,38647,24287,38647,0,8,69,979,6,53983,0,14654,38647,0,8,61,910,27,71.1,0,0,0.1,1.7
E07000225,CHICHESTER,63991,63807,93.4,44.6,43.5,42.5,42.6,0.3,0.7,1.6,6.4,0.4,99.2,0,59743,28541,27848,27197,27231,174,458,1002,4064,249,63469,0,31895,27848,174,284,544,3062,49.8,43.5,0.3,0.4,0.9,4.8
E07000118,CHORLEY,55700,55665,97.4,81.5,80,69.4,78.6,0,0.2,0.5,2.6,0,99.5,16.2,54227,45401,44563,38655,43787,13,107,277,1438,13,55430,9008,9664,44563,13,94,170,1161,17.4,80,0,0.2,0.3,2.1
S12000036,CITY OF EDINBURGH,283255,283072,98,92.2,91.4,74.4,90.5,0,0.2,0.4,1.9,0,98.2,0,277578,261027,258793,210762,256433,117,493,1132,5494,29,278289,4,18785,258793,117,376,639,4362,6.6,91.4,0,0.1,0.2,1.5
E09000001,CITY OF LONDON,10790,10754,59.6,52.8,52.8,51.2,52.8,0,0,0.2,40,0,59.6,0,6435,5692,5692,5527,5692,0,0,17,4319,0,6435,0,743,5692,0,0,17,4302,6.9,52.8,0,0,0.2,39.9
S12000005,CLACKMANNANSHIRE,26701,26700,98.6,70.1,65.9,64.3,64.3,0.1,0.2,0.3,1.4,0.1,99.9,0,26320,18715,17607,17156,17156,26,53,90,380,19,26664,0,8713,17607,26,27,37,290,32.6,65.9,0.1,0.1,0.1,1.1
E07000071,COLCHESTER,89818,88966,97,72.8,72.8,32.6,72.8,0.1,0.5,0.7,2.1,0.3,97.8,13.2,87090,65422,65421,29283,65422,91,415,673,1876,235,87842,11843,21669,65421,91,324,258,1203,24.1,72.8,0.1,0.4,0.3,1.3
W06000003,CONWY,60128,60054,95.9,78.1,78.1,78.1,78.1,0.6,1.2,2.1,4,0.8,98.2,57.6,57669,46939,46939,46939,46939,373,747,1279,2385,455,59042,34620,10730,46939,373,374,532,1106,17.8,78.1,0.6,0.6,0.9,1.8
E07000029,COPELAND,36172,36109,95.2,3.4,3.4,3.4,3.4,0.3,0.5,1.1,4.6,0.8,99.1,0,34436,1235,1235,1235,1235,109,196,414,1673,289,35858,0,33201,1235,109,87,218,1259,91.8,3.4,0.3,0.2,0.6,3.5
E06000052,CORNWALL,307475,306492,89.6,47.8,46.6,44.1,45.9,0.3,1,2.2,10.1,0.4,94.3,12.7,275352,146874,143299,135519,141012,1015,2964,6612,31140,1268,290025,39047,132053,143299,1015,1949,3648,24528,42.9,46.6,0.3,0.6,1.2,8
E07000079,COTSWOLD,48616,48552,96,54.9,54.8,54.7,54.7,0.1,0.4,0.7,3.8,0.2,97.5,0.3,46686,26704,26638,26578,26584,59,173,356,1866,101,47416,133,20048,26638,59,114,183,1510,41.2,54.8,0.1,0.2,0.4,3.1
E06000047,COUNTY DURHAM,263975,263723,95.9,58.7,56.9,54.2,55.8,0.3,0.7,1.1,4,0.2,99.2,0.9,253222,155006,150261,143002,147240,787,1793,2949,10501,546,261961,2449,102961,150261,787,1006,1156,7552,39,56.9,0.3,0.4,0.4,2.9
E08000026,COVENTRY,151720,150538,98.3,96.6,96.6,95,96.6,0,0.2,0.5,0.9,0,98.3,0,149126,146576,146576,144112,146576,4,249,709,1412,11,149199,0,2550,146576,4,245,460,703,1.7,96.6,0,0.2,0.3,0.5
E07000163,CRAVEN,30915,30852,94.4,57.3,55.9,55,55,0.8,1.3,2.2,5.4,0.8,98.4,31.8,29194,17718,17284,16992,17000,238,412,675,1658,238,30405,9832,11910,17284,238,174,263,983,38.5,55.9,0.8,0.6,0.9,3.2
E07000226,CRAWLEY,50248,50228,98.9,93.5,93.5,55.3,93.5,0,0.1,0.2,1.1,0,99.3,0,49687,47004,47004,27789,47004,24,35,101,541,7,49915,0,2683,47004,24,11,66,440,5.3,93.5,0,0,0.1,0.9
E09000008,CROYDON,172693,172617,96.6,86.5,86.5,46.7,86.2,0,0.1,0.4,3.4,0,97,0,166814,149384,149380,80595,148875,2,204,732,5803,3,167574,0,17434,149380,2,202,528,5071,10.1,86.5,0,0.1,0.3,2.9
E07000096,DACORUM,70250,70141,97.5,84,83.4,58.3,83.1,0.2,0.4,0.5,2.3,0.1,99.2,0,68504,59003,58610,40933,58358,137,274,353,1637,45,69687,0,9894,58610,137,137,79,1284,14.1,83.4,0.2,0.2,0.1,1.8
E06000005,DARLINGTON,56048,56024,96.1,87.8,87.6,56.3,87.4,0.7,1.8,2.3,3.9,0.1,97.4,21.7,53844,49203,49083,31582,49001,399,1024,1302,2180,54,54609,12171,4761,49083,399,625,278,878,8.5,87.6,0.7,1.1,0.5,1.6
E07000107,DARTFORD,51531,51519,98.1,77.5,76.1,42.9,73.9,0.1,0.2,0.3,1.8,0,99.5,0,50573,39921,39230,22116,38056,56,108,147,946,15,51255,0,11343,39230,56,52,39,799,22,76.1,0.1,0.1,0.1,1.6
W06000004,DENBIGHSHIRE,50611,50457,94.4,66.5,66.5,66.5,66.5,0.5,1.2,2.3,5.3,0.4,97.1,29.9,47782,33654,33654,33654,33654,241,624,1176,2675,213,49134,15156,14128,33654,241,383,552,1499,27.9,66.5,0.5,0.8,1.1,3
E06000015,DERBY,121411,120970,99,96,95.6,79,95.2,0,0.1,0.1,0.7,0,99.1,0,120158,116569,116059,95887,115598,0,67,179,812,0,120262,0,4099,116059,0,67,112,633,3.4,95.6,0,0.1,0.1,0.5
E07000035,DERBYSHIRE DALES,38609,38512,91.9,29.4,29.4,29.4,29.4,0.5,1.3,2.8,7.8,0.7,97.7,0,35490,11366,11366,11366,11366,182,510,1067,3022,272,37712,0,24124,11366,182,328,557,1955,62.5,29.4,0.5,0.8,1.4,5.1
N09000005,DERRY CITY AND STRABANE,67744,67669,97.6,92.5,92.5,90.8,92.5,0.5,0.7,1,2.3,0.3,99.5,0,66137,62641,62641,61505,62641,317,503,698,1532,217,67406,0,3496,62641,317,186,195,834,5.2,92.5,0.5,0.3,0.3,1.2
E08000017,DONCASTER,150236,150096,98.4,76.7,76.6,64.8,76.5,0.1,0.2,0.4,1.5,0,99.2,13.2,147844,115200,115043,97410,114934,98,290,660,2252,36,149049,19775,32801,115043,98,192,370,1592,21.8,76.6,0.1,0.1,0.2,1.1
E06000059,DORSET,194453,194225,95.3,46.1,46,44,46,0.1,0.4,0.8,4.5,0.2,99.2,3,185381,89599,89521,85531,89396,224,762,1478,8844,354,192973,5757,95860,89521,224,538,716,7366,49.3,46,0.1,0.3,0.4,3.8
