laua,laua_name,All Premises,All Matched Premises,SFBB availability (% premises),UFBB (100Mbit/s) availability (% premises),UFBB availability (% premises),Full Fibre availability (% premises),Gigabit availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,% of premises below the USO,% of premises with NGA,% of premises able to receive decent broadband from FWA,Number of premises with SFBB availability,Number of premises with UFBB (100Mbit/s) availability,Number of premises with UFBB availability,Number of premises with Full Fibre availability,Number of premises with Gigabit availability,Number of premises unable to receive 2Mbit/s,Number of premises unable to receive 5Mbit/s,Number of premises unable to receive 10Mbit/s,Number of premises unable to receive 30Mbit/s,Number of premises below the USO,Number of premises with NGA,Number of premises able to receive decent broadband from FWA,Number of premises with 30<300Mbit/s download speed,Number of premises with >=300Mbit/s download speed,Number of premises with 0<2Mbit/s download speed,Number of premises with 2<5Mbit/s download speed,Number of premises with 5<10Mbit/s download speed,Number of premises with 10<30Mbit/s download speed,% of premises with 30<300Mbit/s download speed,% of premises with >=300Mbit/s download speed,% of premises with 0<2Mbit/s download speed,% of premises with 2<5Mbit/s download speed,% of premises with 5<10Mbit/s download speed,% of premises with 10<30Mbit/s download speed
S12000033,ABERDEEN CITY,129999,129894,97.4,87.2,86.6,85.9,85.9,0,0.2,0.4,2.6,0,98.2,0,126574,113299,112613,111681,111681,56,227,465,3320,51,127656,0,13961,112613,56,171,238,2855,10.7,86.6,0,0.1,0.2,2.2
S12000034,ABERDEENSHIRE,128976,128662,86,29.4,29.3,29.3,29.3,1.7,4.1,7.5,13.8,2.3,95.5,0,110870,37919,37840,37752,37752,2217,5319,9637,17792,2957,123178,0,73030,37840,2217,3102,4318,8155,56.6,29.3,1.7,2.4,3.3,6.3
E07000223,ADUR,30041,30014,99.1,93,93,67.6,92.1,0,0,0.1,0.8,0,99.6,0,29775,27930,27930,20310,27681,0,9,35,239,5,29917,0,1845,27930,0,9,26,204,6.1,93,0,0,0.1,0.7
E07000026,ALLERDALE,52582,52488,93.1,14.4,14.4,14.4,14.4,1.2,2,2.9,6.8,0.6,98.9,3.4,48930,7592,7592,7592,7592,619,1074,1523,3558,317,51981,1784,41338,7592,619,455,449,2035,78.6,14.4,1.2,0.9,0.9,3.9
E07000032,AMBER VALLEY,62852,62798,97.2,66.1,65.2,64.2,64.4,0.1,0.2,0.4,2.7,0.1,99.5,0,61081,41576,40961,40380,40461,41,157,245,1717,54,62564,1,20120,40961,41,116,88,1472,32,65.2,0.1,0.2,0.1,2.3
S12000041,ANGUS,61915,61785,88.7,40.9,40.8,28.9,40.7,1.1,2.8,5.5,11.1,1.5,95.8,0,54897,25297,25238,17888,25189,652,1744,3403,6888,922,59315,0,29659,25238,652,1092,1659,3485,47.9,40.8,1.1,1.8,2.7,5.6
N09000001,ANTRIM AND NEWTOWNABBEY,65685,65268,95.7,91.7,91.6,90.9,91.6,0.9,1.6,1.9,3.6,0.5,99.2,0,62883,60205,60183,59730,60178,605,1055,1257,2385,328,65160,1,2700,60183,605,450,202,1128,4.1,91.6,0.9,0.7,0.3,1.7
N09000011,ARDS AND NORTH DOWN,78577,78544,98.5,93.4,93.4,92.8,93.4,0.1,0.3,0.6,1.4,0.1,99.9,0,77431,73392,73392,72920,73392,82,235,434,1113,62,78535,0,4039,73392,82,153,199,679,5.1,93.4,0.1,0.2,0.3,0.9
S12000035,ARGYLL AND BUTE,57412,56691,82.8,7,7,7,7,2.8,5,8.2,16,4.2,90.9,0,47528,4019,4019,4018,4019,1606,2890,4728,9163,2415,52211,0,43509,4019,1606,1284,1838,4435,75.8,7,2.8,2.2,3.2,7.7
N09000002,"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",94606,94514,98.6,91.3,91.3,91.3,91.3,0.2,0.3,0.5,1.3,0.2,99.7,0.2,93249,86384,86384,86384,86384,151,321,474,1265,154,94323,162,6865,86384,151,170,153,791,7.3,91.3,0.2,0.2,0.2,0.8
