laua,laua_name,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >=300 Mbit/s (number of lines),Number of connections >=30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines,Full-fibre take-up (% of full-fibre coverage),Full-fibre take-up (% of all premises)
E07000174,MANSFIELD,80,172.6,1000,6,19.7,107.2,188.6,606.4,19.6,18.2,439.72,1,3.8,15.4,19.8,42.2,83,277,730,2773,31762,6186,37948,510,344,144,334,508,538.4290711,780,28,4
E06000035,MEDWAY,80,190.4,1000,5.8,19.7,108.6,210.3,605.1,20,20.8,900,1,3.6,15.9,22.5,48.2,230,749,1677,7658,71953,18529,90482,605,429,161,416,602,645.3283157,886,16,10
E07000133,MELTON,59.8,112.7,1000,5.6,20.4,82.1,131.9,595.4,12,15.3,300,1,3.4,14.7,17.8,46.5,97,215,449,2611,15175,1628,16803,421,266,122,293,441,455.5340128,654,98,5
E07000187,MENDIP,59.8,117.2,1000,5.4,19.2,83.2,146.6,567.4,12.7,49.3,1000,0.9,2.7,26.5,62.6,302.6,308,853,1488,7281,29909,4504,34413,366,187,122,264,393,411.1501343,541,26,16
W06000024,MERTHYR TYDFIL,71.5,114.1,1000,5.4,19.8,76.4,127.3,743.4,19.7,20.2,165,1.1,3.7,16.9,21.9,82.7,87,215,389,1752,16857,1391,18248,624,438,158,369,643,687.9519921,1241,35,23
E09000024,MERTON,80,192.6,1000,6.2,18.7,108.9,209.1,623.8,20,22.2,1219.49,1.1,3.6,16.1,23.2,52.3,148,404,1275,4387,53780,12999,66779,534,366,158,335,527,576.9893793,866,23,13
N09000008,MID AND EAST ANTRIM,80,172.4,1000,5.3,19.1,100.3,195.7,649.3,20,24.1,811.07,0.9,2.6,18.1,26.2,64.9,290,662,1103,4416,36177,7608,43785,527,348,145,303,554,596.1787516,839,44,40
E07000042,MID DEVON,44.8,76.1,1000,4.9,19.4,67,103.1,659.9,10,17.9,1000,0.8,2.8,16,24.6,156.5,487,1086,1378,5895,18969,1232,20201,430,248,118,300,493,523.7550023,1021,28,11
E07000203,MID SUFFOLK,55.4,98.4,1000,5.4,20.7,70.9,115.4,689.2,13.9,18.2,900,1.1,3.8,16,21.2,88.7,192,441,827,5605,31174,2415,33589,455,286,114,301,472,504.965151,949,45,19
E07000228,MID SUSSEX,65.6,117.5,1000,6.1,20.3,74.6,134.2,697.7,17.5,23.1,1000,1.1,3.6,16.2,26,118.1,124,389,1114,6864,46029,4864,50893,516,355,143,316,526,564.1891311,1056,31,19
N09000009,MID ULSTER,77.7,128.4,1000,5,19.3,90.6,160.2,523.8,16.5,19.3,1219.49,0.9,2.6,16.2,21.1,46.6,527,1233,1714,6901,31199,5970,37169,484,329,157,339,522,560.2973079,865,40,34
E06000002,MIDDLESBROUGH,125,205,1000,5.7,18.4,131.6,237.2,596.5,18,18.5,115,0.9,2.4,14.6,21,42.6,226,832,1578,4667,33512,9847,43359,578,400,207,398,570,633.0272682,912,26,7
S12000019,MIDLOTHIAN,67.7,151.5,1000,5.5,20.5,85.2,173.3,666.5,18.5,20.9,1219.49,1.1,4,16.4,23.4,62.4,117,370,663,3925,26650,4756,31406,602,405,147,352,587,664.6732627,1214,38,31
E06000042,MILTON KEYNES,75.7,129.9,1000,5.8,20.5,82,147.7,690.7,20,23.5,1000,0.8,3.8,16.9,25,91.5,684,1770,4094,5548,71419,8639,80058,686,430,60,368,661,797.6928186,1928,47,42
E07000210,MOLE VALLEY,64.3,135.9,1000,5.9,20.2,83.6,160.6,624.4,14.8,21.2,1000,1,3.6,15.3,24.9,82.7,100,294,673,4817,24148,4011,28159,413,277,114,293,433,447.7709825,571,29,8
W06000021,MONMOUTHSHIRE,60,93.2,1000,5.1,19.4,75.1,112.6,579.2,15,17,1000,0.9,3,16.3,20.5,73.3,353,787,1179,4594,25955,2084,28039,438,268,122,282,476,494.8432622,835,31,15
S12000020,MORAY,54.8,96.2,1000,5,20,72.6,121,708.5,10,16.9,811.07,0.9,3.1,15.8,21,83.7,381,976,1266,5784,25280,2081,27361,514,262,139,294,501,613.0647686,1966,37,17
S12000013,NA H-EILEANAN SIAR,40,51.2,1000,5.1,20,59.1,65.6,624.9,9.5,10.8,220,0.9,3.2,13.5,14.2,81.1,146,192,381,2597,7859,92,7951,354,204,106,287,394,396.5901289,591,67,4
W06000012,NEATH PORT TALBOT,73.8,144.9,1000,5.7,20.3,93.6,163.8,629.6,14.2,21.6,1219.49,1.1,3.6,14.6,24.3,88.2,132,394,833,5519,40130,6056,46186,529,356,163,391,545,561.8195572,729,17,5
E07000091,NEW FOREST,52.1,81.4,1000,5.7,20.2,67.7,98.4,614.7,10,14.5,1219.49,1,3.5,14.7,17.5,66.1,342,801,1807,11502,51478,3060,54538,417,244,125,289,454,462.2851736,677,21,6
E07000175,NEWARK AND SHERWOOD,70.7,137.5,1000,5.5,21,88.6,155.2,625.5,15.7,17.6,1449.33,1,3.8,15.1,19.6,51.6,157,402,732,4708,35687,5057,40744,472,297,120,303,467,511.1030983,936,32,10
E08000021,NEWCASTLE UPON TYNE,78.2,153.5,1000,6.2,19.3,99.7,173,606.1,19.3,18.8,237.5,1,3,15.5,20.2,48,213,589,1927,9718,74639,12635,87274,620,380,190,364,577,690.6132679,1571,24,15
E07000195,NEWCASTLE-UNDER-LYME,74,144.3,1000,5.7,20.4,93.8,163.3,615.3,15.9,17.3,1219.49,1,3.9,15.1,19.3,47,109,439,807,4562,34280,5269,39549,478,312,129,360,495,511.4678889,663,21,7
E09000025,NEWHAM,80,180.8,3000,6.1,17.9,100.6,195.5,669.2,20,37,3000,1.1,3.7,16.8,33.9,119.4,256,552,1836,5194,74238,14866,89104,660,526,222,436,685,697.2845286,851,29,19
W06000022,NEWPORT,79.9,168.1,2608.85,5.7,19.6,103.7,186.2,612.2,19.9,20.1,940,1,3.5,16.1,22,52.2,192,488,1112,4255,42872,8301,51173,579,418,148,386,593,618.7917303,797,21,11
N09000010,"NEWRY, MOURNE AND DOWN",79.7,135.3,1000,5.1,19.4,91.8,161.5,551.7,20,20.6,220,0.9,2.7,16.6,21.8,50.8,457,1158,1689,7753,43025,7690,50715,508,351,159,346,532,564.468895,819,42,37
S12000021,NORTH AYRSHIRE,55.4,111.7,1000,5.9,20.3,76.8,134,652.1,12,16.9,1637.88,1.1,3.4,15.3,19.8,60.8,197,482,1269,8685,40458,4469,44927,584,342,150,357,575,664.3479792,1662,32,15
E07000043,NORTH DEVON,54.7,73.5,1000,5.1,19.9,65.8,89.7,641.3,11.6,15.2,200,0.9,3,15.6,18.7,90.6,376,788,1230,5932,28661,1237,29898,404,221,109,270,438,453.3614516,900,17,9
E07000038,NORTH EAST DERBYSHIRE,56.1,100.1,1000,5.3,20.9,73.1,118.3,666,11.5,19,1000,1.1,3.8,15.1,22.4,111.1,169,522,824,5422,28978,2393,31371,471,306,124,333,494,515.972605,950,21,12
E06000012,NORTH EAST LINCOLNSHIRE,125,200.9,1000,6.1,18,124.3,230,594.7,19.9,18.3,811.07,0.9,2.3,14.9,20.8,41.1,158,582,1450,6002,40593,11770,52363,504,334,163,363,514,541.2172625,681,8,2
E07000099,NORTH HERTFORDSHIRE,79.7,168.5,1000,5.8,20.1,102,189.8,611.5,18.9,19.2,346.03,1,3.3,15.6,21.4,49.7,130,309,742,5214,37421,7791,45212,492,340,137,338,490,522.4410317,734,19,9
E07000139,NORTH KESTEVEN,69.2,136.2,1000,5.1,20.7,87.2,155.6,638,17,18.9,793.75,0.9,3.5,15.8,21.3,59.9,227,515,819,4785,34039,4833,38872,499,301,118,306,492,555.4173473,1110,43,15
S12000050,NORTH LANARKSHIRE,80,193.6,2009.41,5.6,20,107.4,214.8,633.9,20,20,1219.49,1,3.6,15.6,21.9,46.4,401,1074,2348,10507,95615,24498,120113,585,400,173,396,571,631.9022423,989,32,10
E06000013,NORTH LINCOLNSHIRE,72.4,132.9,1000,5,20.5,88.8,151.6,616,16,17.3,811.07,0.9,3.6,15.2,19.5,51.4,302,712,987,6212,44873,6070,50943,492,306,131,325,511,536.6824452,796,12,8
E07000147,NORTH NORFOLK,49,63.2,1000,5.2,20.5,61.9,76.9,683.7,10,13.2,2240.81,1,3.6,14.5,16.2,84.9,271,691,1021,8445,33804,835,34639,358,184,115,251,391,400.4388089,779,39,6
E06000061,NORTH NORTHAMPTONSHIRE,78.1,160.3,10000,5.4,19.7,95.3,179.4,601.6,20,29.3,10000,1,3.3,17.3,32.5,109,517,1056,1994,12068,98411,19593,118004,574,386,130,345,580,632.7384703,968,30,15
E06000024,NORTH SOMERSET,67,130.7,1000,5.9,19.3,89.1,156.1,601.7,15.8,27.2,2000,1,3,19.2,32.4,120.3,298,904,2145,11783,59401,8929,68330,467,286,123,288,476,524.3972834,955,26,15
E08000022,NORTH TYNESIDE,80,176.1,1000,5.7,19.7,106.4,195.7,615.2,20,19.7,1897.46,0.9,3.4,15.7,21.4,48.4,238,869,1848,5917,60026,12783,72809,545,358,148,342,538,597.1853436,971,23,12
E07000218,NORTH WARWICKSHIRE,65.5,106.3,1000,5.2,20.3,75.3,120.2,652.8,16.4,17.5,500,1.1,3.6,15.8,19.6,65.2,113,280,418,2505,19650,1658,21308,566,367,121,346,587,622.7049733,1147,41,13
E07000134,NORTH WEST LEICESTERSHIRE,79.7,166.5,1000,5.5,20.8,98.6,185.4,623.5,18.8,19.2,300,1,3.8,15.4,21.1,49.7,126,334,570,3527,30149,5972,36121,527,343,124,334,503,568.0549909,1020,36,9
E06000057,NORTHUMBERLAND,54.8,94.7,1000,5.5,20.4,69.8,112.6,706.2,12.4,19.4,1219.49,0.9,3.4,15.4,23,128.7,688,1587,3084,18381,95973,6925,102898,483,292,122,321,504,541.1969365,1179,31,13
E07000148,NORWICH,79.8,162.7,1000,6.3,20,105.8,178.4,583,19.2,18.7,165,1,3.7,15.4,20.1,46.4,73,273,918,4047,41665,7483,49148,519,343,131,340,518,556.8934728,839,21,10
E06000018,NOTTINGHAM,125,190.1,1000,6,18.9,120.8,207.6,585.2,20,19.6,235,0.9,2.8,15.1,20.4,43.5,228,684,1914,6653,77371,17776,95147,619,409,145,371,612,684.3907195,1089,21,12
E07000219,NUNEATON AND BEDWORTH,79.8,175.6,1000,5.6,20.3,100.9,190.7,633.9,20,19.6,2452.62,1.1,4.1,15.7,21,47.2,104,385,688,3138,37701,7638,45339,576,392,132,358,569,626.2525961,1068,37,9
E07000135,OADBY AND WIGSTON,75.4,158.6,1000,6.5,19.8,100.4,178.2,593.5,18.2,17.6,1000,1.1,3.5,15.3,19.6,42.3,26,105,373,1964,15034,2817,17851,515,351,112,294,539,555.1586673,681,18,2
E08000004,OLDHAM,79.7,162.8,1215.3,5.8,20,100.4,177,616.6,20,19.5,1431.23,1,4.1,15.7,20.7,49.5,186,543,1263,4881,60596,10551,71147,622,397,151,372,587,673.7196457,1348,24,13
S12000023,ORKNEY ISLANDS,39,45.5,1000,5.2,19.4,59.4,67.4,744,8.2,9.8,115,0.6,2.6,13.8,14.7,90.4,191,409,726,2091,4865,58,4923,344,187,114,263,429,435.3549631,990,37,2
E07000178,OXFORD,79.7,159.4,1276.76,6.3,19.9,106.7,175.8,564.2,18.9,19,1219.49,1,3.9,15.5,20.8,50.4,81,297,903,3685,36876,6557,43433,454,309,138,315,462,478.0666539,608,12,2
W06000009,PEMBROKESHIRE,57,76.7,1000,5,19.6,68.3,91.3,577.8,12,15.1,1788.89,0.9,3.2,15.4,18,72.8,484,1042,1414,6251,37228,1759,38987,418,232,103,263,457,468.4068863,869,31,10
E07000122,PENDLE,75.7,125.2,1000,5.8,19.6,90,141.1,613.4,18.1,17.6,1219.49,1.1,3.2,15.8,19.5,54.1,86,213,503,3236,24711,2675,27386,523,345,135,316,535,571.726887,1015,20,10
S12000048,PERTH AND KINROSS,54.8,106.7,1000,5.1,19.7,82.3,134.5,623.3,10,14.9,220,0.9,2.9,14.9,18.6,53.8,625,1311,2112,10081,41975,4476,46451,437,267,130,294,474,499.1551764,810,57,7
E06000031,PETERBOROUGH,75.1,147.7,1000,5.6,20.6,95.9,164.6,585.5,17.5,20.4,1000,1,3.9,14.9,21.5,61.4,221,551,1141,5736,50965,8311,59276,608,400,146,379,606,687.3130928,1340,26,23
E06000026,PLYMOUTH,80,183.8,1000,5.9,19.5,114.8,207.7,592.1,19,18.6,1000,1,3.3,15.1,20.7,43.7,261,868,2005,9255,69906,16915,86821,521,335,170,345,514,557.52201,807,14,5
E06000044,PORTSMOUTH,100.7,189.9,1000,5.9,18.6,116.1,209.2,611.4,20,31,900,0.9,2.9,15.7,33.5,110.3,177,711,1541,4680,52327,12121,64448,584,391,161,396,585,631.9232092,954,15,9
W06000023,POWYS,55,85.2,1000,4.8,19.1,73.8,112.6,660.4,10,15.7,1219.49,0.8,2.4,16.6,20.9,82.6,1077,1922,2604,8098,33584,2378,35962,407,222,111,251,453,488.3343983,988,49,16
E07000123,PRESTON,75.8,149.7,1070,6.1,19.9,97,167.4,613.6,17.9,21.3,1000,1,3.6,15.3,23.4,74.5,116,341,972,4634,39439,6227,45666,570,367,136,373,581,609.3928129,847,33,9
E06000038,READING,79.9,166.5,1000,6.1,19.6,106,184.7,611.8,20,18.1,500,1,3.4,15.2,18.9,39.2,155,393,1177,4687,44776,8245,53021,580,411,127,344,581,637.127567,1113,13,10
E09000026,REDBRIDGE,80,191.1,1000,6.4,19.2,110.7,211.6,625.4,20,21,900,1.1,3.2,16.1,22.6,49.3,155,399,1461,7220,63336,15430,78766,623,480,190,392,630,676.8159533,930,20,13
E06000003,REDCAR AND CLEVELAND,125,189.1,1000,5.9,18.6,125.1,218.8,592.4,16.8,17.8,115,0.9,2.2,14.8,20.4,42.7,188,609,1498,5365,35987,9027,45014,482,320,181,333,492,523.7339506,695,47,4
E07000236,REDDITCH,79.4,178.7,1000,5.9,20.2,104.8,201,620,18.8,19.2,1000,0.9,3.7,15.4,21.4,47.7,111,375,967,2479,23511,5402,28913,547,371,124,359,550,590.4100837,849,28,5
E07000211,REIGATE AND BANSTEAD,77.2,177.9,1000,6.2,20.4,97.1,201.9,636.1,19.9,24.4,900,1.1,3.9,16,27.1,73.4,94,324,944,5921,39152,9446,48598,502,356,126,342,520,548.3184139,708,28,14
S12000038,RENFREWSHIRE,80,183.3,1000,6,19.5,107.6,209.1,623,19.2,18.7,1219.49,0.9,2.9,14.8,20.4,43.3,198,524,1464,7583,50678,12426,63104,585,361,158,373,536,654.7699831,1354,16,13
W06000016,RHONDDA CYNON TAF,61.7,95.2,1000,5.8,20.4,73.3,106.8,655.4,16.8,16.8,300,1.1,4,15.8,18.7,64.6,218,732,1676,8444,70316,4291,74607,608,413,167,417,622,655.9279151,1345,30,11
E07000124,RIBBLE VALLEY,76,141.7,10000,5.2,19.7,82,163.8,766.6,20,46.8,10000,0.9,2.9,17.2,53.2,318.3,123,282,449,2670,17594,2388,19982,513,282,106,249,501,601.6292063,1345,48,31
E09000027,RICHMOND UPON THAMES,80,195.3,3000,6.2,19.5,107.5,214.3,628.7,20,23,3000,1,3.1,16.6,24.8,56.6,126,395,1191,5330,52741,13604,66345,436,308,123,270,437,465.6605096,627,18,8
E07000166,RICHMONDSHIRE,48.8,75.3,1000,5.2,20.2,66.6,94.5,680.4,10,16.8,1000,0.9,3.4,15.6,21.4,143.4,175,427,642,3158,13003,618,13621,425,238,109,275,474,488.0090191,782,28,8
E08000005,ROCHDALE,67.8,129,4007.39,5.9,19.9,90.9,149.1,612.2,15.1,16.2,1219.49,0.9,3.7,15.3,18.5,43.8,392,1043,2629,7906,60239,7560,67799,550,390,127,395,582,597.0841505,784,19,5
E07000075,ROCHFORD,60,99.9,1000,6.3,20.3,71.8,113.6,685.7,15.7,18.5,1219.49,1.1,3.8,16.1,20.8,84.2,58,177,555,3805,25631,1873,27504,544,377,133,316,560,597.7695891,1136,36,18
E07000125,ROSSENDALE,54.8,100,1000,5.4,21.1,79.1,119.2,597.1,11.4,14.7,115,1,3.8,15,17.4,45.8,101,332,499,4003,19342,1623,20965,526,364,156,438,551,564.6931244,804,49,2
E07000064,ROTHER,52,82.9,1000,5.8,20.6,62.4,100.1,616.4,10.5,27.5,1906.84,1.1,4,15.7,33.7,279.9,123,358,808,6627,27768,2029,29797,423,235,123,291,453,467.7173338,902,19,10
E08000018,ROTHERHAM,65.7,136.9,1000,5.8,20.6,88.6,156.6,623.6,15.6,16.9,811.07,1.1,3.8,14.9,18.8,46.1,233,838,1814,10739,72242,10516,82758,565,374,142,393,564,615.7890361,1142,17,8
E07000220,RUGBY,79.7,164.6,1000,5.3,20.3,97.9,181.2,635.4,20,21.2,1219.49,0.9,4.1,16.6,23,58.1,175,402,701,2900,31712,5812,37524,559,374,106,325,545,609.8555191,1063,30,15
E07000212,RUNNYMEDE,76.3,164.1,1000,5.4,20,94.4,185,632.1,20,19.9,1000,0.9,3.8,16,21.9,50.5,187,330,684,2770,23499,4765,28264,518,356,115,322,516,555.6098621,826,23,10
E07000176,RUSHCLIFFE,80,180.4,1000,5.7,20.6,108.3,197.1,610,20,21.1,890.85,1,3.5,16.3,22.8,52.6,88,230,541,3404,34225,7354,41579,463,314,110,269,446,497.9309602,810,33,16
E07000092,RUSHMOOR,80,188.3,1000,5.5,19.5,105.9,204.4,620.8,20,23.6,900,1,3.7,15.4,25.3,66.9,101,372,603,1962,26390,6247,32637,551,415,191,390,556,575.6201727,699,13,6
E06000017,RUTLAND,50,90.7,1000,5.2,20.8,65.1,109.9,600.6,11.2,30.7,1000,1.2,3.7,18.3,37.8,252.3,71,135,211,2743,10894,993,11887,396,240,100,305,410,426.4358365,635,32,17
E07000167,RYEDALE,54.9,80.3,1000,5.1,20.3,68.2,96.3,698.1,12.1,15.7,165,0.9,3.4,15.8,18.9,85.5,202,368,585,3057,16171,755,16926,385,219,97,245,412,439.6293504,1025,33,11
E08000006,SALFORD,125,200.4,1000,6.2,19,111.6,220.3,647.5,20,24.5,1000,1,2.7,16.9,24.1,52,197,603,1937,7001,71924,18310,90234,708,436,175,371,690,824.8606045,1503,41,28
E08000028,SANDWELL,80,163.7,1000,6.1,18.5,105.5,180.2,612.5,20,19.1,1219.49,1,3.1,16,20.6,47.4,314,779,2359,7098,81494,14069,95563,629,445,184,354,640,691.5516763,1102,24,10
E07000168,SCARBOROUGH,49.4,59.4,1000,5.4,20.4,59.1,69.6,726.7,10.8,13.3,300,1,3.4,14.8,15.8,80.6,208,565,914,7091,35689,566,36255,422,237,111,308,452,458.551148,961,52,4
S12000026,SCOTTISH BORDERS,54.8,83,1000,5.2,20,69.8,102.5,670.8,10.6,15.6,220,0.9,3,15.7,19.3,82,448,986,1546,7256,33484,1927,35411,432,244,114,273,471,498.1952063,979,41,12
E07000188,SEDGEMOOR,58.7,103.8,1875.14,5.4,20.1,75.5,121.8,605.8,16.1,29.4,1000,0.9,3.4,20.9,34.7,179.1,257,695,1254,5677,35229,3366,38595,459,268,127,298,489,511.7034478,834,23,15
E08000014,SEFTON,79.9,174.6,2994.32,6.1,19.8,101.5,193.6,631.1,20,20.4,1616.51,1,3.3,16,22.2,51.6,156,533,1436,9344,78065,16434,94499,549,355,134,343,556,600.4619919,889,28,13
E07000169,SELBY,58.2,108,2000,5.4,20.6,72.7,126,696.7,16.4,21.6,2000,1,3.6,16.8,25,112.5,163,406,696,4327,25836,2416,28252,517,339,125,321,522,576.0104663,1186,35,22
E07000111,SEVENOAKS,66.7,134.6,1000,5.8,20,80,159.7,632.6,17.2,23.8,1404.57,1.1,3.7,16.3,27.9,97,157,417,978,6305,31534,5314,36848,511,342,141,346,533,572.4852672,889,37,17
E08000019,SHEFFIELD,65.1,121.1,1000,6.5,19.5,91.5,153.8,621.9,12.3,16.1,900,0.6,2.9,15.6,19.8,51.6,2178,4161,18444,24109,142587,18986,161573,507,302,51,287,576,622.7530093,1085,22,14
S12000027,SHETLAND ISLANDS,39.8,50.4,1000,5.3,19.9,60.3,71.5,684.3,9.1,10.7,115,0.7,2.9,13.9,15.2,85.8,188,338,695,2165,5627,103,5730,362,218,124,291,432,435.5751853,638,48,3
E06000051,SHROPSHIRE,54.7,83.8,1821.27,5.3,19.7,70.6,104,652.3,11.3,17.6,1219.49,0.9,3.1,16.1,22,120,1034,2464,4183,18927,84714,5164,89878,418,248,119,283,458,477.9112039,860,22,10
E06000039,SLOUGH,80,177.7,1000,5.4,18.7,109.6,201.8,631.2,20,21.2,1505.44,0.9,2.7,16.6,22.9,51.8,324,585,1223,4006,34366,7373,41739,683,492,115,317,687,784.3553325,1364,26,20
E08000029,SOLIHULL,80,194.3,1000,4.3,18.6,111,218.8,633,20,21.1,1000,0.8,2.9,16.2,23.3,50.5,1363,958,1758,5660,57256,14903,72159,507,328,77,264,516,568.3896754,839,25,15
E07000246,SOMERSET WEST AND TAUNTON,53.5,85.1,1869.93,5.2,19.6,70.2,106.3,641.8,12,18.5,3199.21,1.6,3.3,16.5,23.2,121.8,537,1639,2351,9125,42486,2859,45345,436,247,114,284,470,505.5900323,1132,25,13
S12000028,SOUTH AYRSHIRE,64,137.1,1000,5.8,20.1,87,162.8,643.9,15,18.5,115,1,3.4,15.8,21.5,58.1,182,492,1089,6390,32838,5176,38014,506,292,129,297,512,585.656757,1173,28,15
E07000012,SOUTH CAMBRIDGESHIRE,77.6,162.2,1000,5,20.8,95.3,183.8,607.2,18.7,28.4,900,1,3.6,16,32.1,108.9,235,619,804,6460,44888,9386,54274,461,308,107,293,450,506.3732611,827,42,18
E07000039,SOUTH DERBYSHIRE,75.1,145.9,1000,5.3,20.8,88.4,162.3,656.3,19.1,20.7,1404.57,1,4.3,16.3,22.6,65,142,394,611,3498,31759,4756,36515,530,354,130,320,529,576.9298044,1000,32,22
E06000025,SOUTH GLOUCESTERSHIRE,80,178.3,2373.45,5.7,20.2,107.3,197.8,609.9,19.6,20.2,1000,1,3.7,15.5,22.2,52.6,323,852,1853,8602,79254,17402,96656,506,345,114,318,490,541.4720076,864,37,11
E07000044,SOUTH HAMS,51,86.7,1000,5.3,19.4,73.1,114.6,616.4,10,17.8,2777.15,0.9,2.8,16.2,23.8,116.4,366,961,1616,7866,25439,2103,27542,332,180,103,224,372,399.5405516,781,29,13
E07000140,SOUTH HOLLAND,50,96.6,1000,5.5,20.2,64.5,121.5,833,10,45.9,1000,1,3.4,15.3,59.1,606.1,184,599,1012,6354,24207,1937,26144,468,289,156,334,513,527.6390876,1017,19,10
E07000141,SOUTH KESTEVEN,60,123.9,1000,5.5,20.5,81.6,145,627,14.8,28.4,1310.72,1,3.7,17.3,33.2,154.3,219,639,1188,7003,40540,5336,45876,464,289,136,302,468,520.9495899,1127,21,11
E07000031,SOUTH LAKELAND,54.8,155.3,10000,5.5,20.3,65.6,190.2,895.7,11.4,103.4,10000,1,3.4,14.4,124.9,750.7,281,592,1206,7324,31681,5594,37275,336,188,96,228,358,376.4058599,484,39,16
S12000029,SOUTH LANARKSHIRE,79.7,175.9,1000,5.5,19.7,102.2,199.7,633.9,19.4,22.2,3654.81,0.9,3.7,15.7,24.8,65.2,533,1366,2674,12546,93920,21088,115008,537,363,158,354,539,587.5433952,905,34,12
E07000149,SOUTH NORFOLK,56.8,104,1000,5.4,20.6,71.7,123.6,674,13.6,29.5,1519.91,1,4,16.3,35,233.8,287,636,1134,8036,40737,3842,44579,477,286,124,291,493,549.154348,1200,43,18
E07000179,SOUTH OXFORDSHIRE,69.3,122.7,2000,5.6,20.5,80.5,137.6,612.1,18,34.3,2000,1.1,3.6,20.4,38.5,189,171,344,773,5800,44598,5364,49962,446,303,111,284,456,477.3138142,708,31,16
E07000126,SOUTH RIBBLE,78.5,161,1000,5.8,20.1,97.6,180.9,637.8,19.3,22,940,1,3.6,15.8,24.4,71.4,131,369,852,3896,32188,5868,38056,494,309,119,313,486,548.6074306,1005,26,13
E07000189,SOUTH SOMERSET,54.8,88.2,10000,5.4,20,67.5,106.5,595.2,12,23.7,10000,1,3.3,16.8,29,181.6,332,1156,1904,9926,48559,3871,52430,441,254,117,307,469,494.5947223,1112,24,12
E07000196,SOUTH STAFFORDSHIRE,57.8,94.6,2000,5.5,20.1,72.7,111.3,642.4,13.1,17.6,2000,1.1,3.6,15.8,20.6,85.5,174,476,856,5636,30886,2245,33131,476,302,128,323,500,520.5982382,924,27,13
E08000023,SOUTH TYNESIDE,80,172,1000,5.4,19.9,110.1,192.1,591.7,17,17.4,115,0.9,3.6,14.7,19.2,41.4,216,680,1056,4503,41765,8570,50335,519,367,155,397,523,549.1222726,729,20,2
E06000045,SOUTHAMPTON,80,279.3,10000,6.3,19.2,98.9,319.1,796.4,20,174.9,10000,1,2.8,15.3,198.2,594.5,153,661,1976,9040,53440,24664,78104,540,360,181,380,559,585.3440506,843,20,16
E06000033,SOUTHEND-ON-SEA,74.1,138.6,1070,5.9,19.2,92.7,159.9,612.5,17,16.7,475,1.1,2.9,15.3,18.6,41,173,378,987,8106,48135,7140,55275,528,360,132,340,545,570.04837,839,11,10
E09000028,SOUTHWARK,79.7,185.1,3000,6.1,17.7,100.6,213.1,668.7,20,43.9,3000,0.9,2.3,19.3,42,134.2,375,1037,3170,11348,78133,19281,97414,554,383,183,373,583,626.3731218,1058,38,24
E07000213,SPELTHORNE,80,185.2,1000,6.3,18.4,105.2,211.4,641.5,20,21.7,1219.49,0.9,2.7,16.9,24.1,53.2,85,353,1158,3432,26242,6480,32722,539,377,174,308,535,600.9583407,946,26,18
E07000240,ST ALBANS,80,204.4,1000,5.8,19.9,110.7,224.2,628.5,20,23.5,1219.49,1,3.4,17,25.2,54.4,101,383,804,3928,38735,10873,49608,542,373,114,284,512,590.4818192,946,28,17
E08000013,ST. HELENS,80,194,1000,5.6,19.7,110.9,218.5,630.7,19.3,19.1,541.71,1,3.4,15.1,21.3,44.9,236,771,1413,6025,48749,12717,61466,548,368,162,372,547,596.0583001,876,25,6
E07000197,STAFFORD,73.8,150.4,1000,5.5,20.2,96.1,173,622.8,16.5,18.3,4179.1,1,3.6,15.4,20.7,51.6,239,644,1172,5580,38597,6605,45202,483,306,134,315,484,534.9997119,929,36,11
E07000198,STAFFORDSHIRE MOORLANDS,54.8,95.9,1000,5.3,19.8,74.2,117.9,656.9,10,22.9,1000,1,3.2,15.9,28.5,183.7,233,606,938,5963,25834,2094,27928,417,254,120,302,455,462.6548542,616,15,5
E07000243,STEVENAGE,125,199.3,10000,5.7,20.4,114.2,214.6,605.5,20,19.8,10000,0.9,3.6,15.1,21,44,73,228,479,1742,24021,6173,30194,565,412,135,437,562,587.5724993,736,19,4
S12000030,STIRLING,48.8,66.9,1000,5.5,20.4,64,82.2,675.2,10,13.3,220,0.9,3.4,14.5,16,67.6,206,453,911,5827,23330,717,24047,518,302,122,334,531,595.0799581,2710,30,15
