laua,laua_name,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >=300 Mbit/s (number of lines),Number of connections >=30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines,Full-fibre take-up (% of full-fibre coverage),Full-fibre take-up (% of all premises)
E07000208,EPSOM AND EWELL,125,217,1000,6.1,19.3,110.3,236.2,637.2,20,25.4,220,1,3.6,17.4,26.9,57.2,50,164,464,1819,19871,6244,26115,565,369,117,279,543,639.7223236,1025,35,27
E07000036,EREWASH,79.7,164.7,1000,6,20.3,102.1,182.9,605.9,19,18.9,220,1.1,3.6,15.4,20.6,47.4,93,258,701,3753,32687,6245,38932,480,303,122,317,479,518.9516172,807,21,10
E07000041,EXETER,125,190.2,1000,5.8,19,118.2,218.7,599.5,20,21.9,450,0.9,2.3,16.7,24.8,55.3,215,565,1295,4571,32384,8543,40927,534,306,102,224,518,619.1507179,1082,30,21
S12000014,FALKIRK,125,201.9,1000,6,19.7,115.1,232.5,628.3,19,21.4,940,1,3.1,15,24.3,55.8,177,603,1633,6858,43356,12862,56218,524,347,183,389,517,570.2350687,831,41,7
E07000087,FAREHAM,78.4,169.8,1000,5.6,19.9,103.2,190.2,608.4,17.9,19.9,900,1,3.7,15.3,22.1,55.1,91,367,634,4027,31841,6626,38467,452,300,120,300,458,479.9781797,634,10,4
E07000010,FENLAND,59.5,125,1000,5.7,20,81.4,149.1,654.2,12.2,24.5,1000,1,3.2,14.9,29.2,135.7,146,352,772,5803,27744,3722,31466,498,324,142,344,524,548.0094993,830,21,12
N09000006,FERMANAGH AND OMAGH,74.2,111,1000,4.9,19.3,87.3,143.2,500.8,10,16.6,115,0.8,2.6,14.7,17.9,38.2,594,1380,1727,5595,24400,3810,28210,406,242,138,289,458,487.1898433,806,36,29
S12000047,FIFE,70.1,142.8,1000,5.7,20.2,88.7,164.2,633.7,16.2,18,402.14,1,3.4,15.3,20.4,52.1,490,1440,2914,17107,111215,17887,129102,535,341,143,336,548,586.6624147,919,29,15
W06000005,FLINTSHIRE,76.1,131.8,1000,5.3,19.9,83.9,148.7,693.1,20,22.4,3576.69,0.9,3.5,17.3,24.3,83,319,719,1259,4827,43964,5235,49199,658,361,129,298,631,775.9623426,1989,48,31
E07000112,FOLKESTONE AND HYTHE,60,121.2,1000,5,19.5,78.8,145.9,556.8,15,21.5,940,1,3.1,15.5,25.9,89.5,406,629,1039,5690,28536,4657,33193,476,290,143,308,517,536.1280771,768,20,9
E07000080,FOREST OF DEAN,49.5,94.7,1000,5.4,19.1,71.1,127.6,532.5,10,43.8,1000,0.9,2.8,21.5,60.7,342.1,334,1009,1702,6474,20299,2831,23130,457,266,130,315,502,548.5679488,882,35,16
E07000119,FYLDE,72.6,140.4,1000,6,19.3,87.6,161.6,685.1,19.7,20.8,220,1,3.2,17.1,23.3,67.2,88,259,696,3683,24240,3426,27666,493,263,143,262,460,559.7360406,1396,42,26
E08000037,GATESHEAD,76.9,155.2,1000,5.9,18.9,108.6,185.8,588.5,12,16.1,1219.49,1,2.7,14.7,19,41.4,264,1092,2555,9468,51439,9858,61297,497,340,173,374,505,545.6808819,845,19,4
E07000173,GEDLING,125,199.1,1000,5.6,19.6,118.6,215.2,598.4,20,21.6,220,1,3.4,16,22.9,50.3,100,266,514,2793,33409,8426,41835,508,318,114,270,478,552.2612808,925,26,18
S12000049,GLASGOW CITY,79.7,155.2,1000,5.9,19,98.7,172.7,632.9,20,18.9,2000,0.9,2.8,16.1,20,43.9,815,1349,4727,19903,184058,29597,213655,569,375,147,336,558,620.80036,1207,21,13
E07000081,GLOUCESTER,80,190,1000,5.3,20.3,113.6,210.8,608.3,19.7,18.7,500,0.9,3.6,14.9,20.3,42.3,226,496,809,3692,35163,8598,43761,551,361,125,387,537,590.9150259,908,20,7
E07000088,GOSPORT,76.4,159.8,1000,5.4,20.4,102.3,174.3,589.1,18,17.6,300,1.1,4.2,15,18.9,41.4,90,244,395,2142,24245,4209,28454,532,346,136,349,539,567.7702087,814,13,2
E07000109,GRAVESHAM,76.6,169.3,1000,5.4,19.8,93.5,191.2,636.5,19,37.1,940,1.1,3.9,15.7,41.8,160.6,125,332,590,3602,26616,5839,32455,571,417,162,401,594,607.5709397,727,14,9
E07000145,GREAT YARMOUTH,61.2,122.6,1000,5.7,20.1,83.6,142.3,624.2,15,16.7,300,1.1,3.4,15.2,19.1,50.7,136,331,682,4856,28651,3492,32143,530,327,130,345,552,587.1921258,995,37,8
E09000011,GREENWICH,79.9,174.9,1000,5.9,19.1,99.3,191,647,20,21.5,1219.49,1,3.6,15.8,21.2,48.2,214,628,1514,6615,74165,14908,89073,622,456,182,403,631,667.0757498,957,30,18
E07000209,GUILDFORD,79.7,168.1,1042,5.4,20.8,100.8,186.3,614.5,20,21.4,3064.99,1,4.6,15.9,23.4,60.8,178,447,811,4183,39018,7785,46803,490,345,108,328,491,523.4826831,751,31,9
W06000002,GWYNEDD,53.5,82.6,1000,5.2,19.8,68.3,102.4,673.2,10.6,15.7,811.07,0.9,2.9,15.8,19.6,83.8,473,1054,1779,7450,34490,2058,36548,426,237,119,270,463,484.8431744,857,38,14
E09000012,HACKNEY,78.7,147.4,10000,6.3,18.3,98.9,168.5,614.3,20,22.4,10000,1,2.7,16.1,23.9,74.1,312,670,2585,8759,66778,10426,77204,536,392,149,375,567,576.2927894,685,17,9
E06000006,HALTON,75.2,167.4,1000,5.6,20.7,95.5,187.7,634.9,17.5,18.1,900,1,3.8,15,20.1,44.8,123,397,761,4627,36089,7448,43537,592,418,146,425,601,627.6271861,833,23,4
E07000164,HAMBLETON,55,85.6,2000,5,20.2,69.8,100.9,666.7,13.8,29.9,2000,0.9,3.3,21.8,35.8,290.9,279,564,869,4574,27090,1487,28577,399,230,116,257,414,442.1157943,1218,26,14
E09000013,HAMMERSMITH AND FULHAM,75.3,145.4,3000,6.6,18.3,88.8,163.4,657.5,20,35.6,3000,1,2.7,19.2,36.2,148.6,119,328,1359,6844,54174,8173,62347,487,356,149,327,514,522.4907029,694,20,14
E07000131,HARBOROUGH,67.6,113.3,1000,5.4,20.1,80,127.4,627.8,17,20.7,1219.49,1.1,3.5,16.4,23.1,94.5,127,283,502,3882,29703,2816,32519,486,319,119,284,483,524.8651296,1055,39,15
E09000014,HARINGEY,79.7,160.9,1000,6.1,18.6,106.3,177.8,591.3,20,17.6,1000,1.1,3.2,15.6,18.9,38,199,516,1524,6996,67918,11735,79653,550,410,224,394,560,575.3371721,713,18,3
E07000073,HARLOW,125,199.8,1000,5.4,20.6,114,217.9,604.8,20,19.7,300,1,4.2,15.4,21,42.1,87,316,537,2149,24771,6650,31421,610,446,145,472,603,645.4131849,879,61,7
E07000165,HARROGATE,73.4,134.8,1011.68,4.8,19.6,92.4,162.6,619,16.9,17.4,300,0.8,2.8,15.8,20.5,51.2,430,1248,1461,8979,44927,6904,51831,424,252,94,267,430,491.6970222,1009,20,13
E09000015,HARROW,79.7,168.9,1000,6.2,19.2,102.3,183.1,620.3,20,19.2,1000,1.1,3.8,15.8,20.1,43.2,130,441,1351,5006,63302,11704,75006,541,410,165,364,553,569.7409534,701,32,8
