medal_type,medal_code,medal_date,name,country_code,gender,discipline,event,event_type
Bronze Medal,3,2024-08-09,Jakob SCHUBERT,AUT,M,Sport Climbing,Men's Boulder & Lead,ATH
Gold Medal,1,2024-08-09,China,CHN,M,Table Tennis,Men's Team,HTEAM
Silver Medal,2,2024-08-09,Sweden,SWE,M,Table Tennis,Men's Team,HTEAM
Bronze Medal,3,2024-08-09,France,FRA,M,Table Tennis,Men's Team,HTEAM
Gold Medal,1,2024-08-09,Firas KATOUSSI,TUN,M,Taekwondo,Men -80kg,HATH
Silver Medal,2,2024-08-09,Mehran BARKHORDARI,IRI,M,Taekwondo,Men -80kg,HATH
Bronze Medal,3,2024-08-09,Simone ALESSIO,ITA,M,Taekwondo,Men -80kg,HATH
Bronze Medal,3,2024-08-09,Edi HRNIC,DEN,M,Taekwondo,Men -80kg,HATH
Gold Medal,1,2024-08-09,Viviana MARTON,HUN,W,Taekwondo,Women -67kg,HATH
Silver Medal,2,2024-08-09,Aleksandra PERISIC,SRB,W,Taekwondo,Women -67kg,HATH
Bronze Medal,3,2024-08-09,Kristina TEACHOUT,USA,W,Taekwondo,Women -67kg,HATH
Bronze Medal,3,2024-08-09,Sarah CHAARI,BEL,W,Taekwondo,Women -67kg,HATH
Bronze Medal,3,2024-08-09,United States,USA,M,Volleyball,Men,HTEAM
Gold Medal,1,2024-08-09,Karlos May NASAR,BUL,M,Weightlifting,Men's 89kg,ATH
Silver Medal,2,2024-08-09,Yeison LOPEZ,COL,M,Weightlifting,Men's 89kg,ATH
Bronze Medal,3,2024-08-09,Antonino PIZZOLATO,ITA,M,Weightlifting,Men's 89kg,ATH
Gold Medal,1,2024-08-09,Olivia REEVES,USA,W,Weightlifting,Women's 71kg,ATH
Silver Medal,2,2024-08-09,Mari Leivis SANCHEZ,COL,W,Weightlifting,Women's 71kg,ATH
Bronze Medal,3,2024-08-09,Angie Paola PALACIOS DAJOMES,ECU,W,Weightlifting,Women's 71kg,ATH
Gold Medal,1,2024-08-09,HIGUCHI Rei,JPN,M,Wrestling,Men's Freestyle 57kg,HATH
Silver Medal,2,2024-08-09,Spencer Richard LEE,USA,M,Wrestling,Men's Freestyle 57kg,HATH
Bronze Medal,3,2024-08-09,Aman AMAN,IND,M,Wrestling,Men's Freestyle 57kg,HATH
Bronze Medal,3,2024-08-09,Gulomjon ABDULLAEV,UZB,M,Wrestling,Men's Freestyle 57kg,HATH
Gold Medal,1,2024-08-09,Magomed Eldarovitch RAMAZANOV,BUL,M,Wrestling,Men's Freestyle 86kg,HATH
Silver Medal,2,2024-08-09,Hassan YAZDANICHARATI,IRI,M,Wrestling,Men's Freestyle 86kg,HATH
Bronze Medal,3,2024-08-09,Aaron Marquel BROOKS,USA,M,Wrestling,Men's Freestyle 86kg,HATH
Bronze Medal,3,2024-08-09,Dauren KURUGLIEV,GRE,M,Wrestling,Men's Freestyle 86kg,HATH
Gold Medal,1,2024-08-09,SAKURAI Tsugumi,JPN,W,Wrestling,Women's Freestyle 57kg,HATH
Silver Medal,2,2024-08-09,Anastasia NICHITA,MDA,W,Wrestling,Women's Freestyle 57kg,HATH
Bronze Medal,3,2024-08-09,Helen Louise MAROULIS,USA,W,Wrestling,Women's Freestyle 57kg,HATH
Bronze Medal,3,2024-08-09,HONG Kexin,CHN,W,Wrestling,Women's Freestyle 57kg,HATH
